group,gc_bin,true_label,true_class,n,n_errors,error_rate,err_ci_low,err_ci_high,tn,fp,fn,tp,fpr,fnr,precision,recall,f1,accuracy,roc_auc,suppressed
800_1200,>55,0,temperate,23870,2552,0.10691244239631337,0.1030555253196681,0.11089586024310627,21318,2552,0,0,0.10691244239631337,,0.0,0.0,0.0,0.8930875576036866,,False
800_1200,>55,1,virulent,37642,9570,0.2542372881355932,0.24986374467926734,0.258660987853578,0,0,9570,28072,,0.2542372881355932,1.0,0.7457627118644068,0.8543689320388349,0.7457627118644068,,False
1200_1800,<35,0,temperate,14324,1720,0.12007819044959508,0.11485662446105084,0.1255034792376505,12604,1720,0,0,0.12007819044959508,,0.0,0.0,0.0,0.8799218095504049,,False
1200_1800,<35,1,virulent,36416,4336,0.11906854130052724,0.1157822760079484,0.12243516567505076,0,0,4336,32080,,0.11906854130052724,1.0,0.8809314586994728,0.9366970334034104,0.8809314586994728,,False
1200_1800,35-45,0,temperate,17582,2687,0.15282675463542258,0.1475840017229515,0.1582211808958921,14895,2687,0,0,0.15282675463542258,,0.0,0.0,0.0,0.8471732453645774,,False
1200_1800,35-45,1,virulent,113484,4914,0.04330125832716506,0.04213245381454644,0.0445009805026284,0,0,4914,108570,,0.04330125832716506,1.0,0.956698741672835,0.9778702477775676,0.956698741672835,,False
1200_1800,45-55,0,temperate,11440,1097,0.09589160839160839,0.09063091071019785,0.1014236075850237,10343,1097,0,0,0.09589160839160839,,0.0,0.0,0.0,0.9041083916083916,,False
1200_1800,45-55,1,virulent,55598,2594,0.046656354545127524,0.04493438871478967,0.048440962219690194,0,0,2594,53004,,0.046656354545127524,1.0,0.9533436454548725,0.9761146203568996,0.9533436454548725,,False
1200_1800,>55,0,temperate,18084,2130,0.11778367617783676,0.11316645421906828,0.12256324678079288,15954,2130,0,0,0.11778367617783676,,0.0,0.0,0.0,0.8822163238221632,,False
1200_1800,>55,1,virulent,28388,5983,0.210758066788784,0.2060529986347343,0.21554140467938887,0,0,5983,22405,,0.210758066788784,1.0,0.789241933211216,0.8822081782922844,0.789241933211216,,False
